2016-11-14_10:47:03,74,20
2016-11-14_10:47:03,55,20
2016-11-14_10:47:37,56,21
2016-11-14_10:47:38,79,21
2016-11-14_10:47:39,79,21
2016-11-14_10:47:39,61,20
2016-11-14_10:47:40,69,20
2016-11-14_10:47:40,100,20
2016-11-14_10:47:41,65,20
2016-11-14_10:47:41,57,20
2016-11-14_10:47:42,37,20
2016-11-14_10:47:43,44,20
2016-11-14_10:47:43,46,20
2016-11-14_10:47:44,28,20
2016-11-14_10:47:44,35,20
2016-11-14_10:47:45,69,20
2016-11-14_10:47:45,51,20
2016-11-14_10:47:46,55,20
2016-11-14_10:47:46,50,20
2016-11-14_10:47:47,67,20
2016-11-14_10:47:47,43,20
2016-11-14_10:47:48,53,20
2016-11-14_10:47:49,37,20
2016-11-14_10:47:49,51,20
2016-11-14_10:47:50,51,20
2016-11-14_10:47:50,79,20
2016-11-14_10:47:51,57,21
2016-11-14_10:47:51,56,21
2016-11-14_10:47:52,47,21
2016-11-14_10:47:52,45,21
2016-11-14_10:47:53,34,21
2016-11-14_10:47:54,52,21
2016-11-14_10:47:54,63,20
2016-11-14_10:47:55,55,20
2016-11-14_10:47:55,51,20
2016-11-14_10:47:56,45,20
2016-11-14_10:47:56,37,21
2016-11-14_10:47:57,50,21
2016-11-14_10:47:57,63,21
2016-11-14_10:47:58,45,21
2016-11-14_10:47:58,47,21
2016-11-14_10:47:59,73,20
2016-11-14_10:48:00,45,21
2016-11-14_10:48:00,62,21
2016-11-14_10:48:01,82,21
2016-11-14_10:48:01,89,21
2016-11-14_10:48:02,36,21
2016-11-14_10:48:02,44,21
2016-11-14_10:48:03,44,21
2016-11-14_10:48:03,45,21
2016-11-14_10:48:04,51,21
2016-11-14_10:48:04,43,21
2016-11-14_10:48:05,43,21
2016-11-14_10:48:06,30,21
2016-11-14_10:48:06,37,21
2016-11-14_10:48:07,30,21
2016-11-14_10:48:07,55,21
2016-11-14_10:48:08,25,21
2016-11-14_10:48:08,40,21
2016-11-14_10:48:09,34,21
2016-11-14_10:48:09,44,21
2016-11-14_10:48:10,42,21
2016-11-14_10:48:10,44,21
2016-11-14_10:48:11,56,21
2016-11-14_10:48:12,25,21
2016-11-14_10:48:12,71,21
2016-11-14_10:48:13,71,21
2016-11-14_10:48:13,47,21
2016-11-14_10:48:14,52,21
2016-11-14_10:48:14,45,21
2016-11-14_10:48:15,35,21
2016-11-14_10:48:15,44,21
2016-11-14_10:48:16,45,21
2016-11-14_10:48:17,40,21
2016-11-14_10:48:17,35,21
2016-11-14_10:48:18,51,21
2016-11-14_10:48:18,46,21
2016-11-14_10:48:19,24,21
2016-11-14_10:48:19,58,21
2016-11-14_10:48:20,49,21
2016-11-14_10:48:20,26,21
2016-11-14_10:48:21,50,21
2016-11-14_10:48:21,55,21
2016-11-14_10:48:22,47,21
2016-11-14_10:48:22,37,21
2016-11-14_10:48:23,49,21
2016-11-14_10:48:24,45,21
2016-11-14_10:48:24,41,21
2016-11-14_10:48:25,39,21
2016-11-14_10:48:25,53,21
2016-11-14_10:48:26,49,21
2016-11-14_10:48:26,47,21
2016-11-14_10:48:27,36,21
2016-11-14_10:48:27,59,21
2016-11-14_10:48:28,46,21
2016-11-14_10:48:28,39,21
2016-11-14_10:48:29,35,21
2016-11-14_10:48:30,53,21
2016-11-14_10:48:30,56,21
2016-11-14_10:48:31,42,21
2016-11-14_10:48:31,36,21
2016-11-14_10:48:32,58,21
2016-11-14_10:48:32,51,21
2016-11-14_10:48:33,46,21
2016-11-14_10:48:33,40,21
2016-11-14_10:48:34,42,21
2016-11-14_10:48:34,36,21
2016-11-14_10:48:35,34,21
2016-11-14_10:48:36,47,21
